LOC_00000343-mRNA-1	sp|Q8N539|FBCD1_HUMAN	*-*	Fibrinogen C domain-containing protein 1		GO:0005515, GO:0005615, GO:0008061, GO:0016020, GO:0046872, GO:0062023
LOC_00000437-mRNA-5	tr|A0A8D8KGU3|A0A8D8KGU3_CULPI	***	(northern house mosquito) hypothetical protein		
LOC_00000437-mRNA-3	tr|A0A8D8KGU3|A0A8D8KGU3_CULPI	***	(northern house mosquito) hypothetical protein		
LOC_00000437-mRNA-4	tr|A0A8D8KGU3|A0A8D8KGU3_CULPI	***	(northern house mosquito) hypothetical protein		
LOC_00000535-mRNA-1	tr|B0WQL7|B0WQL7_CULQU	*-*	Chitin-binding type-2 domain-containing protein		GO:0005576, GO:0008061
LOC_00000404-mRNA-1	tr|A0A8D8BQD4|A0A8D8BQD4_CULPI	***	Zinc finger protein 182		GO:0005634, GO:0008270, GO:0046872
LOC_00000169-mRNA-4	tr|B0WAX8|B0WAX8_CULQU	***	1-acyl-sn-glycerol-3-phosphate acyltransferase		GO:0003841, GO:0006629, GO:0008654, GO:0016020, GO:0016740, GO:0016746
LOC_00000169-mRNA-3	tr|B0WAX8|B0WAX8_CULQU	***	1-acyl-sn-glycerol-3-phosphate acyltransferase		GO:0003841, GO:0006629, GO:0008654, GO:0016020, GO:0016740, GO:0016746
LOC_00000169-mRNA-6	tr|B0WAX8|B0WAX8_CULQU	***	1-acyl-sn-glycerol-3-phosphate acyltransferase		GO:0003841, GO:0006629, GO:0008654, GO:0016020, GO:0016740, GO:0016746
LOC_00000169-mRNA-5	tr|A0A1Q3FPX4|A0A1Q3FPX4_CULTA	*-*	1-acyl-sn-glycerol-3-phosphate acyltransferase		GO:0003841, GO:0006629, GO:0008654, GO:0016020, GO:0016740, GO:0016746
LOC_00000169-mRNA-2	tr|B0WAX8|B0WAX8_CULQU	***	1-acyl-sn-glycerol-3-phosphate acyltransferase		GO:0003841, GO:0006629, GO:0008654, GO:0016020, GO:0016740, GO:0016746
LOC_00000169-mRNA-1	tr|B0WAX8|B0WAX8_CULQU	***	1-acyl-sn-glycerol-3-phosphate acyltransferase		GO:0003841, GO:0006629, GO:0008654, GO:0016020, GO:0016740, GO:0016746
LOC_00000427-mRNA-1	tr|A0A8D8ALK4|A0A8D8ALK4_CULPI	***	Zinc finger protein 585B		GO:0005634, GO:0008270, GO:0046872
LOC_00000427-mRNA-2	tr|A0A8D8ALK4|A0A8D8ALK4_CULPI	***	Zinc finger protein 585B		GO:0005634, GO:0008270, GO:0046872
LOC_00000149-mRNA-1	tr|A0A1Q3FXP8|A0A1Q3FXP8_CULTA	***	KASH domain-containing protein		GO:0005634, GO:0005635, GO:0016020
LOC_00000149-mRNA-2	tr|A0A1Q3FXG5|A0A1Q3FXG5_CULTA	*-*	KASH domain-containing protein		GO:0005634, GO:0005635, GO:0016020
LOC_00000149-mRNA-3	tr|A0A1Q3FXG5|A0A1Q3FXG5_CULTA	*-*	KASH domain-containing protein		GO:0005634, GO:0005635, GO:0016020
LOC_00000149-mRNA-4	tr|A0A1Q3FXP8|A0A1Q3FXP8_CULTA	*-*	KASH domain-containing protein		GO:0005634, GO:0005635, GO:0016020
LOC_00000149-mRNA-5	tr|A0A1Q3FXP8|A0A1Q3FXP8_CULTA	***	KASH domain-containing protein		GO:0005634, GO:0005635, GO:0016020
LOC_00000149-mRNA-6	tr|A0A1Q3FXF0|A0A1Q3FXF0_CULTA	***	KASH domain-containing protein		GO:0005634, GO:0005635, GO:0016020
LOC_00000149-mRNA-7	tr|A0A1Q3FXF0|A0A1Q3FXF0_CULTA	***	KASH domain-containing protein		GO:0005634, GO:0005635, GO:0016020
LOC_00000149-mRNA-8	tr|A0A1Q3FXF0|A0A1Q3FXF0_CULTA	***	KASH domain-containing protein		GO:0005634, GO:0005635, GO:0016020
LOC_00000388-mRNA-1	tr|Q7QGD5|Q7QGD5_ANOGA	***	AGAP009364-PA		GO:1902936
LOC_00000267-mRNA-1	tr|A0A8D8G7J6|A0A8D8G7J6_CULPI	***	Blastoderm-specific protein 25D		GO:0005509, GO:0005813, GO:0015630
LOC_00000267-mRNA-2	tr|A0A8D8G7J6|A0A8D8G7J6_CULPI	***	Blastoderm-specific protein 25D		GO:0005509, GO:0005813, GO:0015630
LOC_00000267-mRNA-3	tr|A0A8D8G7J6|A0A8D8G7J6_CULPI	***	Blastoderm-specific protein 25D		GO:0005509, GO:0005813, GO:0015630
LOC_00000267-mRNA-4	tr|A0A8D8G7J6|A0A8D8G7J6_CULPI	***	Blastoderm-specific protein 25D		GO:0005509, GO:0005813, GO:0015630
LOC_00000376-mRNA-1	tr|A0A8D8H3K6|A0A8D8H3K6_CULPI	***	Protein takeout		
LOC_00000533-mRNA-6	tr|A0A1Q3FLR6|A0A1Q3FLR6_CULTA	***	Dual specificity protein phosphatase		GO:0004721, GO:0004722, GO:0004725, GO:0008138, GO:0016311, GO:0016787, GO:0017018
LOC_00000533-mRNA-4	tr|A0A1Q3FLR6|A0A1Q3FLR6_CULTA	***	Dual specificity protein phosphatase		GO:0004721, GO:0004722, GO:0004725, GO:0008138, GO:0016311, GO:0016787, GO:0017018
LOC_00000533-mRNA-5	tr|A0A1Q3FLR6|A0A1Q3FLR6_CULTA	***	Dual specificity protein phosphatase		GO:0004721, GO:0004722, GO:0004725, GO:0008138, GO:0016311, GO:0016787, GO:0017018
LOC_00000533-mRNA-2	tr|A0A1Q3FLR6|A0A1Q3FLR6_CULTA	***	Dual specificity protein phosphatase		GO:0004721, GO:0004722, GO:0004725, GO:0008138, GO:0016311, GO:0016787, GO:0017018
LOC_00000533-mRNA-3	tr|A0A1Q3FLS5|A0A1Q3FLS5_CULTA	***	protein-serine/threonine phosphatase		GO:0004721, GO:0004722, GO:0008138, GO:0016311, GO:0016787, GO:0017018
LOC_00000533-mRNA-1	tr|A0A1Q3FLR6|A0A1Q3FLR6_CULTA	***	Dual specificity protein phosphatase		GO:0004721, GO:0004722, GO:0004725, GO:0008138, GO:0016311, GO:0016787, GO:0017018
LOC_00000280-mRNA-1	tr|A0A8D8I3R4|A0A8D8I3R4_CULPI	***	Cysteine protease		GO:0005737, GO:0006508, GO:0006914, GO:0008233, GO:0015031, GO:0016787, GO:0019786
LOC_00000432-mRNA-1	tr|A0A1S4F9E4|A0A1S4F9E4_AEDAE	***	Transient receptor ion channel domain-containing protein		GO:0005216, GO:0005261, GO:0005262, GO:0006811, GO:0016020, GO:0034703, GO:0055085, GO:0070588
LOC_00000275-mRNA-1	tr|B0WBM7|B0WBM7_CULQU	***	Zinc finger protein		GO:0046872
LOC_00000205-mRNA-1	tr|A0A182GZ00|A0A182GZ00_AEDAL	***	AB hydrolase-1 domain-containing protein		GO:0016020
LOC_00000227-mRNA-1	tr|W5J3P6|W5J3P6_ANODA	***	Abc transporter		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000227-mRNA-2	tr|A0A8D8C6V3|A0A8D8C6V3_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000482-mRNA-3	tr|B0W4Z2|B0W4Z2_CULQU	***	Zinc finger protein 58		GO:0046872
LOC_00000482-mRNA-4	tr|B0W4Z2|B0W4Z2_CULQU	***	Zinc finger protein 58		GO:0046872
LOC_00000482-mRNA-1	tr|B0W4Z2|B0W4Z2_CULQU	***	Zinc finger protein 58		GO:0046872
LOC_00000482-mRNA-2	tr|B0W4Z2|B0W4Z2_CULQU	***	Zinc finger protein 58		GO:0046872
LOC_00000482-mRNA-5	tr|B0W4Z2|B0W4Z2_CULQU	***	Zinc finger protein 58		GO:0046872
LOC_00000230-mRNA-1	tr|A0A084VPP9|A0A084VPP9_ANOSI	***	Abc transporter		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000429-mRNA-1	tr|A0A182GFG4|A0A182GFG4_AEDAL	***	Ionotropic glutamate receptor L-glutamate and glycine-binding domain-containing protein		GO:0016020
LOC_00000225-mRNA-1	tr|B0W264|B0W264_CULQU	***	Stress-activated protein kinase JNK		GO:0000165, GO:0000166, GO:0004672, GO:0004674, GO:0004707, GO:0005524, GO:0005737, GO:0007154, GO:0009605, GO:0016301, GO:0016310, GO:0016740, GO:0033554, GO:0106310
LOC_00000225-mRNA-2	tr|B0W264|B0W264_CULQU	***	Stress-activated protein kinase JNK		GO:0000165, GO:0000166, GO:0004672, GO:0004674, GO:0004707, GO:0005524, GO:0005737, GO:0007154, GO:0009605, GO:0016301, GO:0016310, GO:0016740, GO:0033554, GO:0106310
LOC_00000225-mRNA-3	tr|B0W264|B0W264_CULQU	***	Stress-activated protein kinase JNK		GO:0000165, GO:0000166, GO:0004672, GO:0004674, GO:0004707, GO:0005524, GO:0005737, GO:0007154, GO:0009605, GO:0016301, GO:0016310, GO:0016740, GO:0033554, GO:0106310
LOC_00000225-mRNA-4	tr|A0A8D8BNJ4|A0A8D8BNJ4_CULPI	***	Stress-activated protein kinase JNK		GO:0000165, GO:0000166, GO:0004672, GO:0004674, GO:0004707, GO:0005524, GO:0005737, GO:0007154, GO:0009605, GO:0016301, GO:0016310, GO:0016740, GO:0033554, GO:0106310
LOC_00000225-mRNA-5	tr|A0A8D8BNJ4|A0A8D8BNJ4_CULPI	***	Stress-activated protein kinase JNK		GO:0000165, GO:0000166, GO:0004672, GO:0004674, GO:0004707, GO:0005524, GO:0005737, GO:0007154, GO:0009605, GO:0016301, GO:0016310, GO:0016740, GO:0033554, GO:0106310
LOC_00000225-mRNA-6	tr|A0A8D8BNJ4|A0A8D8BNJ4_CULPI	***	Stress-activated protein kinase JNK		GO:0000165, GO:0000166, GO:0004672, GO:0004674, GO:0004707, GO:0005524, GO:0005737, GO:0007154, GO:0009605, GO:0016301, GO:0016310, GO:0016740, GO:0033554, GO:0106310
LOC_00000225-mRNA-7	tr|A0A8D8BNJ4|A0A8D8BNJ4_CULPI	***	Stress-activated protein kinase JNK		GO:0000165, GO:0000166, GO:0004672, GO:0004674, GO:0004707, GO:0005524, GO:0005737, GO:0007154, GO:0009605, GO:0016301, GO:0016310, GO:0016740, GO:0033554, GO:0106310
LOC_00000225-mRNA-8	tr|A0A8D8BNJ4|A0A8D8BNJ4_CULPI	***	Stress-activated protein kinase JNK		GO:0000165, GO:0000166, GO:0004672, GO:0004674, GO:0004707, GO:0005524, GO:0005737, GO:0007154, GO:0009605, GO:0016301, GO:0016310, GO:0016740, GO:0033554, GO:0106310
LOC_00000225-mRNA-9	tr|B0W264|B0W264_CULQU	***	Stress-activated protein kinase JNK		GO:0000165, GO:0000166, GO:0004672, GO:0004674, GO:0004707, GO:0005524, GO:0005737, GO:0007154, GO:0009605, GO:0016301, GO:0016310, GO:0016740, GO:0033554, GO:0106310
LOC_00000497-mRNA-1	tr|A0A8D8PBV8|A0A8D8PBV8_CULPI	***	Cytochrome P450 6d3		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872
LOC_00000348-mRNA-1	tr|A0A1S4EWG4|A0A1S4EWG4_AEDAE	*-*	Odorant receptor		GO:0004984, GO:0005549, GO:0005886, GO:0007165, GO:0007608, GO:0016020, GO:0050896, GO:0050911
LOC_00000255-mRNA-1	tr|B0W286|B0W286_CULQU	*-*	F-box domain-containing protein		
LOC_00000505-mRNA-1	tr|Q176D9|Q176D9_AEDAE	*-*	Peptidase S1 domain-containing protein		GO:0004252, GO:0005576, GO:0006508
LOC_00000412-mRNA-1	tr|A0A8D8DVB7|A0A8D8DVB7_CULPI	***	Zinc finger protein 585B		GO:0005634, GO:0008270
LOC_00000328-mRNA-1	tr|A0A8D8BTH0|A0A8D8BTH0_CULPI	***	(northern house mosquito) hypothetical protein		GO:0003677, GO:0005634, GO:0008270, GO:0046872
LOC_00000328-mRNA-3	tr|A0A8D8BY80|A0A8D8BY80_CULPI	***	Zinc finger protein 263		GO:0005634, GO:0008270, GO:0046872
LOC_00000328-mRNA-2	tr|A0A8D8BY80|A0A8D8BY80_CULPI	***	Zinc finger protein 263		GO:0005634, GO:0008270, GO:0046872
LOC_00000449-mRNA-1	tr|B0W526|B0W526_CULQU	***	Mediator of RNA polymerase II transcription subunit 15		GO:0003712, GO:0005634, GO:0006355
LOC_00000207-mRNA-1	tr|B0W236|B0W236_CULQU	***	Pre-rRNA-processing protein TSR1 homolog		GO:0005634, GO:0005730, GO:0042254
LOC_00000219-mRNA-10	tr|A0A1S4G5U6|A0A1S4G5U6_AEDAE	***	G-protein coupled receptors family 2 profile 2 domain-containing protein		GO:0004888, GO:0004930, GO:0007166, GO:0007186, GO:0016020
LOC_00000219-mRNA-11	tr|A0A1S4G5U6|A0A1S4G5U6_AEDAE	***	G-protein coupled receptors family 2 profile 2 domain-containing protein		GO:0004888, GO:0004930, GO:0007166, GO:0007186, GO:0016020
LOC_00000219-mRNA-12	tr|A0A6I8TRB4|A0A6I8TRB4_AEDAE	***	G-protein coupled receptors family 2 profile 2 domain-containing protein		GO:0004888, GO:0004930, GO:0007166, GO:0007186, GO:0016020
LOC_00000513-mRNA-1	tr|A0A182GZW9|A0A182GZW9_AEDAL	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872, GO:0050896
LOC_00000477-mRNA-1	tr|A0A1S4GWH4|A0A1S4GWH4_ANOGA	***	FMR1-interacting protein 1 conserved domain-containing protein		GO:0000492, GO:0005634
LOC_00000381-mRNA-2	tr|A0NC60|A0NC60_ANOGA	***	AGAP009383-PA		GO:0005615, GO:0032504
LOC_00000381-mRNA-1	tr|Q5TVH5|Q5TVH5_ANOGA	***	AGAP009386-PA		GO:0005615, GO:0032504
LOC_00000356-mRNA-1	tr|A0A182Q206|A0A182Q206_9DIPT	***	Lipid desaturase domain-containing protein		GO:0006631, GO:0016020
LOC_00000356-mRNA-2	tr|A0A182NBN0|A0A182NBN0_9DIPT	*-*	Lipid desaturase domain-containing protein		GO:0006631, GO:0016020
LOC_00000199-mRNA-2	tr|B0W232|B0W232_CULQU	***	Valacyclovir hydrolase		GO:0016787
LOC_00000199-mRNA-3	tr|B0W232|B0W232_CULQU	***	Valacyclovir hydrolase		GO:0016787
LOC_00000199-mRNA-1	tr|W5J8S6|W5J8S6_ANODA	***	Valacyclovir hydrolase		GO:0016787
LOC_00000199-mRNA-4	tr|W5J8S6|W5J8S6_ANODA	***	Valacyclovir hydrolase		GO:0016787
LOC_00000199-mRNA-5	tr|W5J8S6|W5J8S6_ANODA	***	Valacyclovir hydrolase		GO:0016787
LOC_00000260-mRNA-1	tr|B0WBP4|B0WBP4_CULQU	***	UDP-glucuronosyltransferase		GO:0008194, GO:0015020, GO:0016020, GO:0016740, GO:0016757
LOC_00000260-mRNA-2	tr|B0WBP4|B0WBP4_CULQU	***	UDP-glucuronosyltransferase		GO:0008194, GO:0015020, GO:0016020, GO:0016740, GO:0016757
LOC_00000260-mRNA-3	tr|B0WBP4|B0WBP4_CULQU	***	UDP-glucuronosyltransferase		GO:0008194, GO:0015020, GO:0016020, GO:0016740, GO:0016757
LOC_00000260-mRNA-4	tr|B0WBP4|B0WBP4_CULQU	***	UDP-glucuronosyltransferase		GO:0008194, GO:0015020, GO:0016020, GO:0016740, GO:0016757
LOC_00000250-mRNA-1	tr|A0A8D8AU53|A0A8D8AU53_CULPI	***	Very-long-chain 3-oxoacyl-CoA reductase		GO:0016020, GO:0016491
LOC_00000409-mRNA-1	tr|A0A8D8HFM3|A0A8D8HFM3_CULPI	***	Ubiquitin carboxyl-terminal hydrolase		GO:0004843, GO:0006508, GO:0008233, GO:0008234, GO:0016020, GO:0016787, GO:0043161
LOC_00000462-mRNA-1	tr|A0A182W9S3|A0A182W9S3_9DIPT	***	Protein eyes shut		GO:0005509, GO:0009653, GO:0016043, GO:0048468, GO:0048513
LOC_00000264-mRNA-13	tr|A0A8D8FNN4|A0A8D8FNN4_CULPI	***	Paired amphipathic helix protein Sin3a		GO:0003714, GO:0005634, GO:0006355, GO:0045892
LOC_00000264-mRNA-12	tr|A0A8D8FNN4|A0A8D8FNN4_CULPI	***	Paired amphipathic helix protein Sin3a		GO:0003714, GO:0005634, GO:0006355, GO:0045892
LOC_00000264-mRNA-14	tr|A0A8D8FNN4|A0A8D8FNN4_CULPI	***	Paired amphipathic helix protein Sin3a		GO:0003714, GO:0005634, GO:0006355, GO:0045892
LOC_00000264-mRNA-11	tr|A0A1S4JBK8|A0A1S4JBK8_CULQU	***	Histone deacetylase interacting domain-containing protein		GO:0003714, GO:0005634, GO:0006355, GO:0045892
LOC_00000264-mRNA-10	tr|A0A8D8FNN4|A0A8D8FNN4_CULPI	***	Paired amphipathic helix protein Sin3a		GO:0003714, GO:0005634, GO:0006355, GO:0045892
LOC_00000301-mRNA-1	tr|B0X965|B0X965_CULQU	***	Protein kinase domain-containing protein		GO:0004672, GO:0005524
LOC_00000419-mRNA-1	tr|B0X5Y3|B0X5Y3_CULQU	***	Zinc finger protein 32		GO:0005634, GO:0008270, GO:0046872
LOC_00000240-mRNA-1	tr|A0A6E8VS07|A0A6E8VS07_ANOCL	***	Peptidase S1 domain-containing protein		GO:0004252, GO:0006508
LOC_00000361-mRNA-3	tr|A0A8D8ANV3|A0A8D8ANV3_CULPI	***	O-acyltransferase		GO:0004144, GO:0005783, GO:0005789, GO:0008374, GO:0016020, GO:0016740, GO:0016746, GO:0019432, GO:0046486
LOC_00000361-mRNA-1	tr|A0A8D8ALR0|A0A8D8ALR0_CULPI	***	O-acyltransferase		GO:0004144, GO:0005783, GO:0005789, GO:0008374, GO:0016020, GO:0016740, GO:0016746, GO:0019432, GO:0046486
LOC_00000361-mRNA-2	tr|A0A8D8ALR0|A0A8D8ALR0_CULPI	*-*	O-acyltransferase		GO:0004144, GO:0005783, GO:0005789, GO:0008374, GO:0016020, GO:0016740, GO:0016746, GO:0019432, GO:0046486
LOC_00000194-mRNA-1	tr|B0W282|B0W282_CULQU	***	Ephrin RBD domain-containing protein		GO:0016020
LOC_00000351-mRNA-1	sp|O75636|FCN3_HUMAN	***	Ficolin-3		GO:0001867, GO:0002376, GO:0002752, GO:0003823, GO:0005102, GO:0005515, GO:0005576, GO:0005581, GO:0005615, GO:0006508, GO:0006956, GO:0009897, GO:0030246, GO:0042802, GO:0043654, GO:0045087, GO:0046597, GO:0046872, GO:0051607, GO:0062023, GO:0072562, GO:0097367, GO:1902679, GO:1903028, GO:1905370
LOC_00000472-mRNA-3	sp|Q9VJ29|TNG6_DROME	***	Transport and Golgi organization protein 6		GO:0005737, GO:0005794, GO:0005829, GO:0007030, GO:0009306
LOC_00000472-mRNA-2	sp|Q9VJ29|TNG6_DROME	***	Transport and Golgi organization protein 6		GO:0005737, GO:0005794, GO:0005829, GO:0007030, GO:0009306
LOC_00000472-mRNA-1	sp|Q9VJ29|TNG6_DROME	***	Transport and Golgi organization protein 6		GO:0005737, GO:0005794, GO:0005829, GO:0007030, GO:0009306
LOC_00000211-mRNA-18	tr|A0A8D8NHS5|A0A8D8NHS5_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000211-mRNA-10	tr|A0A8D8ACG7|A0A8D8ACG7_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000211-mRNA-11	tr|A0A8D8ACG7|A0A8D8ACG7_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000211-mRNA-12	tr|A0A8D8NHS5|A0A8D8NHS5_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000211-mRNA-13	tr|A0A8D8NHS5|A0A8D8NHS5_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000308-mRNA-1	tr|A0A8D8LEH5|A0A8D8LEH5_CULPI	***	WD repeat-containing protein 75		GO:0005634, GO:0005730, GO:0006364, GO:0042254
LOC_00000211-mRNA-14	tr|A0A8D8ACG7|A0A8D8ACG7_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000211-mRNA-15	tr|A0A8D8NHS5|A0A8D8NHS5_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000211-mRNA-16	tr|A0A8D8NHS5|A0A8D8NHS5_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000211-mRNA-17	tr|A0A8D8NHS5|A0A8D8NHS5_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000285-mRNA-1	tr|B0WBL7|B0WBL7_CULQU	***	Mitochondrial uncoupling protein		GO:0016020
LOC_00000285-mRNA-2	tr|B0WBL7|B0WBL7_CULQU	***	Mitochondrial uncoupling protein		GO:0016020
LOC_00000154-mRNA-1	tr|A0A0K0KUF8|A0A0K0KUF8_CULQU	***	Odorant receptor		GO:0004984, GO:0005549, GO:0005886, GO:0007165, GO:0007608, GO:0016020, GO:0050896, GO:0050911
LOC_00000311-mRNA-1	tr|A0A1S4K724|A0A1S4K724_CULQU	***	C2H2-type domain-containing protein		GO:0046872
LOC_00000442-mRNA-1	tr|A0A8D8GKP0|A0A8D8GKP0_CULPI	***	Zinc finger protein 420		GO:0005634, GO:0008270, GO:0046872
LOC_00000200-mRNA-1	tr|A0A8D8FMZ0|A0A8D8FMZ0_CULPI	***	Kynurenine formamidase		GO:0004061, GO:0006569, GO:0016787, GO:0019441
LOC_00000184-mRNA-1	tr|B0XI60|B0XI60_CULQU	*-*	DALR anticodon binding domain-containing protein		GO:0000166, GO:0004812, GO:0004814, GO:0005524, GO:0006418, GO:0006420
LOC_00000341-mRNA-2	sp|Q71KU9|FGL1_MOUSE	***	Fibrinogen-like protein 1		GO:0002250, GO:0002376, GO:0005102, GO:0005515, GO:0005576, GO:0005615, GO:0007160, GO:0007596, GO:0008203, GO:0010906, GO:0035634, GO:0042802, GO:0050776, GO:0050868, GO:0060612, GO:0062023, GO:0070527, GO:0072574
LOC_00000341-mRNA-1	sp|Q71KU9|FGL1_MOUSE	***	Fibrinogen-like protein 1		GO:0002250, GO:0002376, GO:0005102, GO:0005515, GO:0005576, GO:0005615, GO:0007160, GO:0007596, GO:0008203, GO:0010906, GO:0035634, GO:0042802, GO:0050776, GO:0050868, GO:0060612, GO:0062023, GO:0070527, GO:0072574
LOC_00000396-mRNA-1			Unknown protein		
LOC_00000331-mRNA-1	tr|A0A8D8KKY7|A0A8D8KKY7_CULPI	***	Ran GTPase-activating protein		GO:0005096, GO:0007165
LOC_00000295-mRNA-1	tr|A0A8D8H4H1|A0A8D8H4H1_CULPI	***	Zinc finger protein 497		GO:0046872
LOC_00000174-mRNA-1	tr|B0WAX0|B0WAX0_CULQU	*-*	Odorant receptor		GO:0004984, GO:0005549, GO:0005886, GO:0007165, GO:0007608, GO:0016020, GO:0050896, GO:0050911
LOC_00000452-mRNA-1	tr|A0A8D8ATN4|A0A8D8ATN4_CULPI	***	Venom allergen 5		GO:0005576
LOC_00000210-mRNA-1	tr|A0A1Q3EVU4|A0A1Q3EVU4_CULTA	***	Cyclin-dependent kinases regulatory subunit		GO:0007049, GO:0016301, GO:0016310, GO:0016538, GO:0051301
LOC_00000522-mRNA-1	tr|A0A8D8BC08|A0A8D8BC08_CULPI	***	Cytochrome P450 6d3		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872
LOC_00000220-mRNA-1	tr|B0W250|B0W250_CULQU	***	MADF domain-containing protein		
LOC_00000220-mRNA-2	tr|B0W250|B0W250_CULQU	***	MADF domain-containing protein		
LOC_00000220-mRNA-5	tr|B0W250|B0W250_CULQU	***	MADF domain-containing protein		
LOC_00000220-mRNA-3	tr|B0W250|B0W250_CULQU	***	MADF domain-containing protein		
LOC_00000220-mRNA-4	tr|B0W250|B0W250_CULQU	***	MADF domain-containing protein		
LOC_00000387-mRNA-1	sp|Q5RFR0|TTPAL_PONAB	***	Alpha-tocopherol transfer protein-like		
LOC_00000164-mRNA-2	tr|A0A8D8L2G6|A0A8D8L2G6_CULPI	***	Zinc finger protein 629		GO:0005634, GO:0008270, GO:0046872
LOC_00000164-mRNA-1	tr|A0A8D8L2G6|A0A8D8L2G6_CULPI	***	Zinc finger protein 629		GO:0005634, GO:0008270, GO:0046872
LOC_00000159-mRNA-4	tr|A0A6E8VXR4|A0A6E8VXR4_ANOCL	***	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase		GO:0016020
LOC_00000159-mRNA-5	tr|A0A6E8VXR4|A0A6E8VXR4_ANOCL	***	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase		GO:0016020
LOC_00000159-mRNA-6	tr|A0A6E8VXR4|A0A6E8VXR4_ANOCL	***	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase		GO:0016020
LOC_00000159-mRNA-1	tr|A0A6E8VXR4|A0A6E8VXR4_ANOCL	***	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase		GO:0016020
LOC_00000159-mRNA-2	tr|A0A6E8VXR4|A0A6E8VXR4_ANOCL	***	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase		GO:0016020
LOC_00000159-mRNA-3	tr|A0A6E8VXR4|A0A6E8VXR4_ANOCL	***	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase		GO:0016020
LOC_00000238-mRNA-1	tr|A0A182TIC0|A0A182TIC0_9DIPT	***	Salivary secreted mucin 3		
LOC_00000238-mRNA-2	tr|A0A8D8NG76|A0A8D8NG76_CULPI	***	(northern house mosquito) hypothetical protein		
LOC_00000443-mRNA-1	tr|B0W530|B0W530_CULQU	*-*	Zinc finger protein		GO:0005634, GO:0008270
LOC_00000243-mRNA-2	tr|A0A8D8CDE8|A0A8D8CDE8_CULPI	***	CUGBP Elav-like family member 2		GO:0003676, GO:0003723
LOC_00000243-mRNA-3	tr|A0A8D8CDE8|A0A8D8CDE8_CULPI	***	CUGBP Elav-like family member 2		GO:0003676, GO:0003723
LOC_00000243-mRNA-1	tr|A0A8D8J520|A0A8D8J520_CULPI	***	CUGBP Elav-like family member 1		GO:0003676, GO:0003723
LOC_00000438-mRNA-1	tr|A0A023EV96|A0A023EV96_AEDAL	***	Translation initiation factor if-2		GO:0016020
LOC_00000317-mRNA-3			Unknown protein		
LOC_00000317-mRNA-2	tr|A0A182X2Z6|A0A182X2Z6_ANOQN	*-*	Iwr1 domain-containing protein		
LOC_00000317-mRNA-1			Unknown protein		
LOC_00000290-mRNA-1	tr|A0A8D8F179|A0A8D8F179_CULPI	***	Zinc finger protein 26		GO:0005634
LOC_00000290-mRNA-2	tr|A0A6I8TDA4|A0A6I8TDA4_AEDAE	***	C2H2-type domain-containing protein		GO:0046872
LOC_00000466-mRNA-1	tr|A0A6I8T3X9|A0A6I8T3X9_AEDAE	***	Cadherin domain-containing protein		GO:0005509, GO:0005886, GO:0007155, GO:0007156, GO:0016020
LOC_00000215-mRNA-3	tr|A0A8D8DBS5|A0A8D8DBS5_CULPI	***	S-adenosylmethionine synthase		GO:0004478, GO:0005524, GO:0006556, GO:0046872
LOC_00000215-mRNA-2	tr|A0A1Q3FWJ2|A0A1Q3FWJ2_CULTA	***	S-adenosylmethionine synthase		GO:0000166, GO:0004478, GO:0005524, GO:0006556, GO:0006730, GO:0016740, GO:0046872
LOC_00000215-mRNA-1	tr|B0W244|B0W244_CULQU	***	S-adenosylmethionine synthase		GO:0000166, GO:0004478, GO:0005524, GO:0006556, GO:0006730, GO:0016740, GO:0046872
